Station,Date,Avg Temp (deg C),Vapor Pressure (Pa),Wind Speed (m/s),Net Radiation (W m-2)
ftc01,1/1/23,0.89,499,0.839467593,90.14
ftc01,1/2/23,-3.2,452,0.864699074,11.46
ftc01,1/3/23,-6.65,326,0.930555556,64.83
ftc01,1/4/23,-6.48,281,1.111111111,133.8
ftc01,1/5/23,-6.84,270,0.298611111,56.86
ftc01,1/6/23,0.3,388,0.659375,86.88
ftc01,1/7/23,0.08,465,0.998842593,109.49
ftc01,1/8/23,-1.16,366,0.567476852,79.24
ftc01,1/9/23,3.39,373,0.88912037,79.07
ftc01,1/10/23,3.84,433,1.332175926,109.72
ftc01,1/11/23,0.88,572,0.830671296,47.6
ftc01,1/12/23,-1.17,447,0.654976852,110.88
ftc01,1/13/23,0.87,420,0.269907407,102.78
ftc01,1/14/23,4.2,456,1.077546296,74.17
ftc01,1/15/23,2.85,479,0.591435185,37.51
ftc01,1/16/23,0.34,452,0.658796296,96.53
ftc01,1/17/23,-1.75,432,0.803125,59.09
ftc01,1/18/23,-2.9,392,2.652777778,51.78
ftc01,1/19/23,-7.76,261,0.498032407,102.78
ftc01,1/20/23,-5.64,250,0.763310185,110.19
ftc01,1/21/23,-3.22,301,1.612268519,79.91
ftc01,1/22/23,-3.03,311,0.813657407,128.24
ftc01,1/23/23,-2.71,401,0.967592593,57.21
ftc01,1/24/23,-5.15,290,0.65775463,102.55
ftc01,1/25/23,-2.41,231,5.622685185,120.6
ftc01,1/26/23,-1.02,231,2.409722222,115.28
ftc01,1/27/23,-2.44,305,0.925115741,81.54
ftc01,1/28/23,-7.25,304,1.412037037,43.68
ftc01,1/29/23,-17.35,128,1.055555556,45.51
ftc01,1/30/23,-18.29,111,0.882638889,105.09
ftc01,1/31/23,-15.54,129,0.493981481,151.04
ftc01,2/1/23,-6.72,229,0.771759259,147.8
ftc01,2/2/23,-3.66,288,0.917592593,151.27
ftc01,2/3/23,1.39,289,0.548842593,131.25
ftc01,2/4/23,5.73,288,3.100694444,149.07
ftc01,2/5/23,1.53,382,0.950231481,134.95
ftc01,2/6/23,2.47,316,3.896990741,102.08
ftc01,2/7/23,-0.92,311,0.940972222,161
ftc01,2/8/23,0.63,291,3.172453704,140.16
ftc01,2/9/23,-2.47,225,4.862268519,167.59
ftc01,2/10/23,-3.5,230,0.67037037,165.86
ftc01,2/11/23,1.72,330,0.258333333,157.29
ftc01,2/12/23,1.95,387,1.310185185,138.31
ftc01,2/13/23,2.14,309,0.668865741,145.14
ftc01,2/14/23,2.31,260,5.152777778,146.41
ftc01,2/15/23,-10.02,232,1.274305556,85.64
ftc01,2/16/23,-8.85,200,1.144675926,181.37
ftc01,2/17/23,-1.68,294,0.618402778,178.36
ftc01,2/18/23,0.74,343,0.576157407,74
ftc01,2/19/23,3.89,248,4.414351852,169.56
ftc01,2/20/23,5.77,346,3.372685185,78.73
ftc01,2/21/23,3.66,448,1.783564815,145.25
ftc01,2/22/23,-16.16,153,1.234953704,77.33
ftc01,2/23/23,-20.52,93,0.857175926,192.71
ftc01,2/24/23,-11.63,173,0.736921296,176.27
ftc01,2/25/23,-1.17,358,0.743055556,198.61
ftc01,2/26/23,4.37,404,2.496527778,140.05
ftc01,2/27/23,5.78,259,4.017361111,205.79
ftc01,2/28/23,-0.56,273,2.989583333,179.86
ftc01,3/1/23,-4.87,303,1.091435185,86.42
ftc01,3/2/23,-2.51,364,0.867939815,206.83
ftc01,3/3/23,0.46,404,1.178240741,91.97
ftc01,3/4/23,-1.82,394,1.375,97.92
ftc01,3/5/23,1.03,369,3.665509259,176.04
ftc01,3/6/23,-0.84,359,1.827546296,204.51
ftc01,3/7/23,-1.82,422,0.9125,74.72
ftc01,3/8/23,-1.36,453,1.653935185,42.82
ftc01,3/9/23,2.36,373,2.304398148,223.15
ftc01,3/10/23,1.51,486,0.927083333,149.07
ftc01,3/11/23,6.14,299,4.474537037,218.98
ftc01,3/12/23,-0.5,344,1.832175926,186.92
ftc01,3/13/23,1.09,375,1.020833333,214.47
ftc01,3/14/23,5.99,368,1.070601852,200.93
ftc01,3/15/23,9.6,488,1.768518519,200.69
ftc01,3/16/23,0.28,256,5.284722222,227.66
ftc01,3/17/23,-1.59,172,2.086805556,245.6
ftc01,3/18/23,-1.78,160,1.674768519,251.39
ftc01,3/19/23,0.86,190,0.820949074,225.35
ftc01,3/20/23,4.02,383,1.688657407,150
ftc01,3/21/23,6.49,272,2.841435185,240.86
ftc01,3/22/23,-0.64,517,0.773842593,65.5
ftc01,3/23/23,2.62,501,1.200231481,185.65
ftc01,3/24/23,2.7,393,1.170138889,153.47
ftc01,3/25/23,-1.53,208,4.038194444,207.99
ftc01,3/26/23,-2.89,233,1.228009259,241.78
ftc01,3/27/23,-3.7,269,2.83912037,201.04
